ev-id,net,day,time,lat,lon,dept,RMS,d_la,d_lo,d_de,Ml,Ml,M,mode
"isor2013uawm","SI",2013-10-13,02:05:18.142,63.8155,-22.6257,3.43,0.051,0.41,0.33,0.42,1.64,1.93,1.76,"manual"
"isor2013uawn","SI",2013-10-13,02:03:23.965,63.8124,-22.6272,3.32,0.047,0.45,0.28,0.50,1.99,2.12,2.05,"manual"
"isor2013uawo","SI",2013-10-13,02:04:21.747,63.8228,-22.6164,2.88,0.049,0.47,0.37,0.44,2.44,2.79,2.53,"manual"
"isor2013uawp","SI",2013-10-13,02:06:56.019,63.8119,-22.6265,3.44,0.044,0.41,0.28,0.50,1.95,2.22,2.04,"manual"
"isor2013uawq","SI",2013-10-13,02:07:11.424,63.8133,-22.6203,3.29,0.051,0.44,0.43,0.50,1.53,1.73,1.60,"manual"
"isor2013uaws","SI",2013-10-13,02:11:02.066,63.8110,-22.6296,3.67,0.050,0.51,0.38,0.52,1.41,1.55,1.46,"manual"
"isor2013uawv","SI",2013-10-13,02:14:27.568,63.8107,-22.6289,3.87,0.049,0.45,0.31,0.47,1.32,1.58,1.39,"manual"
"isor2013uawy","SI",2013-10-13,02:18:37.274,63.8113,-22.6277,3.68,0.056,0.52,0.34,0.64,1.33,1.54,1.43,"manual"
"isor2013uawz","SI",2013-10-13,02:18:18.100,63.8106,-22.6305,3.76,0.058,0.57,0.56,0.68,1.22,1.40,1.28,"manual"
"isor2013uaxb","SI",2013-10-13,02:22:16.639,63.8116,-22.6246,3.34,0.050,0.45,0.26,0.49,2.04,2.26,2.01,"manual"
"isor2013uaxc","SI",2013-10-13,02:22:31.071,63.8128,-22.6257,3.66,0.062,0.51,0.34,0.66,1.34,1.60,1.47,"manual"
"isor2013uaxd","SI",2013-10-13,02:23:32.260,63.8106,-22.6267,3.00,0.051,0.56,0.39,0.65,1.24,1.43,1.31,"manual"
"isor2013uaxe","SI",2013-10-13,02:23:05.225,63.8124,-22.6259,3.56,0.050,0.48,0.28,0.48,1.83,2.04,1.91,"manual"
"isor2013uaxh","SI",2013-10-13,02:29:12.505,63.8180,-22.6133,3.20,0.046,0.39,0.24,0.41,1.77,2.00,1.85,"manual"
"isor2013uaxi","SI",2013-10-13,02:29:00.088,63.8127,-22.6292,3.63,0.056,0.52,0.33,0.49,1.38,1.59,1.41,"manual"
"isor2013uaxn","SI",2013-10-13,02:36:29.199,63.8100,-22.6215,3.00,0.052,0.47,0.49,0.55,1.61,1.76,1.66,"manual"
"isor2013uaxo","SI",2013-10-13,02:37:16.796,63.8124,-22.6272,3.79,0.049,0.50,0.33,0.52,1.68,1.87,1.64,"manual"
"isor2013uaxr","SI",2013-10-13,02:40:07.070,63.8124,-22.6279,3.60,0.051,0.50,0.32,0.50,1.65,1.81,1.71,"manual"
"isor2013uaxy","SI",2013-10-13,02:48:46.015,63.8127,-22.6285,3.65,0.047,0.51,0.33,0.55,1.84,2.04,1.90,"manual"
"isor2013uaxz","SI",2013-10-13,02:51:37.876,63.8093,-22.6198,3.51,0.053,0.44,0.28,0.59,1.68,1.88,1.78,"manual"
"isor2013uaya","SI",2013-10-13,02:50:14.479,63.8134,-22.6321,3.76,0.068,0.60,0.57,0.66,1.22,1.50,1.31,"manual"
"isor2013uayb","SI",2013-10-13,02:50:54.505,63.8112,-22.6293,3.55,0.063,0.53,0.50,0.67,1.30,1.49,1.37,"manual"
"isor2013uayf","SI",2013-10-13,02:56:29.846,63.8147,-22.6129,3.01,0.049,0.42,0.39,0.52,2.00,1.74,1.91,"manual"
"isor2013uayg","SI",2013-10-13,02:56:36.452,63.8164,-22.6220,3.36,0.057,0.45,0.30,0.51,2.07,2.40,2.24,"manual"
"isor2013uayh","SI",2013-10-13,02:57:06.866,63.8050,-22.6438,3.00,0.055,0.44,0.33,0.68,1.50,1.75,1.55,"manual"
"isor2013uayi","SI",2013-10-13,03:00:40.581,63.8123,-22.6116,3.00,0.056,0.45,0.41,0.57,1.48,1.75,1.57,"manual"
"isor2013uayj","SI",2013-10-13,03:00:11.113,63.8180,-22.6165,3.00,0.042,0.43,0.39,0.40,1.39,1.67,1.47,"manual"
"isor2013uayk","SI",2013-10-13,03:02:01.315,63.8166,-22.6137,3.00,0.053,0.42,0.39,0.49,1.53,1.74,1.60,"manual"
"isor2013uayl","SI",2013-10-13,03:01:55.345,63.8164,-22.6194,2.93,0.053,0.41,0.25,0.47,1.63,2.06,1.85,"manual"
"isor2013uaym","SI",2013-10-13,03:02:16.518,63.8145,-22.6144,3.31,0.053,0.51,0.39,0.49,1.43,1.66,1.49,"manual"
"isor2013uayn","SI",2013-10-13,03:04:37.488,63.8183,-22.6203,2.96,0.056,0.43,0.30,0.44,2.08,2.42,2.19,"manual"
"isor2013uayo","SI",2013-10-13,03:04:33.936,63.8112,-22.6255,3.83,0.049,0.44,0.27,0.48,2.24,2.60,2.25,"manual"
"isor2013uayq","SI",2013-10-13,03:10:18.680,63.8223,-22.6221,3.12,0.037,0.43,0.41,0.35,1.34,1.51,1.40,"manual"
"isor2013uaze","SI",2013-10-13,03:26:21.941,63.8172,-22.6215,3.03,0.050,0.45,0.30,0.46,1.48,1.69,1.55,"manual"
"isor2013uazh","SI",2013-10-13,03:29:20.822,63.8107,-22.6264,3.34,0.050,0.50,0.33,0.53,1.46,1.71,1.54,"manual"
"isor2013uazm","SI",2013-10-13,03:35:03.763,63.8137,-22.6162,3.98,0.053,0.50,0.50,0.74,1.39,1.64,1.47,"manual"
"isor2013ubal","SI",2013-10-13,04:04:52.001,63.8179,-22.6149,3.25,0.059,0.52,0.54,0.95,1.33,1.51,1.39,"manual"
"isor2013ubax","SI",2013-10-13,04:19:04.295,63.8145,-22.6297,3.55,0.054,0.56,0.54,0.49,1.20,1.37,1.25,"manual"
"isor2013ubcc","SI",2013-10-13,04:54:24.824,63.8162,-22.6134,3.21,0.052,0.43,0.43,0.58,1.58,1.84,1.67,"manual"
"isor2013ubcf","SI",2013-10-13,04:57:44.645,63.8121,-22.6234,3.63,0.046,0.41,0.27,0.55,2.54,2.86,2.65,"manual"
"isor2013ubdk","SI",2013-10-13,05:34:09.247,63.8124,-22.6330,3.39,0.052,0.47,0.30,0.43,1.31,1.55,1.39,"manual"
"isor2013ubfj","SI",2013-10-13,06:33:21.448,63.8127,-22.6298,3.94,0.045,0.42,0.30,0.50,3.26,3.48,3.34,"manual"
